No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
45,bmg2024bzgl,2024-01-29T01:11:58.854074Z,-6.327270031,103.6217957,3.870640216,MLv,13,43,221.3026276,"Southwest of Sumatra, Indonesia",BMKG
459,bmg2024ctzw,2024-02-09T09:42:57.660962Z,-1.309892416,97.08509064,3.635740315,MLv,10,27,247.2423286,"Southwest of Sumatra, Indonesia",BMKG
252,bmg2024dldu,2024-02-18T19:01:27.220938Z,-0.101448484,97.99501038,3.252118548,M,43,31,189.6580811,"Southwest of Sumatra, Indonesia",BMKG
505,bmg2024etze,2024-03-08T20:26:43.841216Z,-3.691989183,99.10067749,4.265142573,MLv,15,38,225.527565,"Southwest of Sumatra, Indonesia",BMKG
424,bmg2024fbhx,2024-03-12T20:48:03.865587Z,-0.101695761,96.86955261,4.251289072,M,10,61,211.5302887,"Southwest of Sumatra, Indonesia",BMKG
347,bmg2024flly,2024-03-18T10:12:48.60882Z,-4.513876438,100.6315002,3.927087359,MLv,22,47,219.7138138,"Southwest of Sumatra, Indonesia",BMKG
337,bmg2024fmnw,2024-03-19T00:18:42.626024Z,-6.024347782,103.0529251,3.789120036,M,44,40,206.8760071,"Southwest of Sumatra, Indonesia",BMKG
184,bmg2024fxda,2024-03-24T19:19:31.751654Z,-0.050255485,97.09373474,3.617316309,M,16,46,204.7997437,"Southwest of Sumatra, Indonesia",BMKG
133,bmg2024fzdh,2024-03-25T21:44:57.666375Z,-6.126488209,103.1987228,3.35176632,M,10,25,205.1040497,"Southwest of Sumatra, Indonesia",BMKG
243,bmg2024hlep,2024-04-15T17:34:27.733021Z,-3.107002258,97.92046356,4.049043346,M,10,53,241.0937576,"Southwest of Sumatra, Indonesia",
363,bmg2024jazj,2024-05-08T14:37:52.807737Z,-6.050556183,103.568367,4.616509666,M,11,70,187.2257004,"Southwest of Sumatra, Indonesia",
221,bmg2024jvxn,2024-05-20T01:33:47.525183Z,-0.490612328,96.92800903,4.496119896,M,45,46,216.7964401,"Southwest of Sumatra, Indonesia",
386,bmg2024kxck,2024-06-03T22:41:42.438073Z,-0.408368379,96.95812225,3.922673568,M,47,77,225.2548218,"Southwest of Sumatra, Indonesia",
362,bmg2024lake,2024-06-05T18:01:55.147189Z,-1.125238538,97.77535248,4.453189077,M,10,39,224.3817825,"Southwest of Sumatra, Indonesia",
312,bmg2024lhhy,2024-06-09T12:51:38.488053Z,-6.315517426,103.5437775,3.440864383,M,10,16,206.6187744,"Southwest of Sumatra, Indonesia",
