No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
646,bmg2023isuw,2023-05-05T03:17:11.990422Z,-4.637641907,102.0650635,3.321117926,MLv,60,31,175.757431,"Southern Sumatra, Indonesia",BMKG
621,bmg2023itrt,2023-05-05T14:49:52.85497Z,-5.529417038,103.6149063,2.795483013,MLv,29,27,170.1966858,"Southern Sumatra, Indonesia",BMKG
616,bmg2023itvg,2023-05-05T16:36:50.850421Z,-2.24668169,101.1060486,2.530068206,MLv,49,26,77.24212265,"Southern Sumatra, Indonesia",BMKG
606,bmg2023itxn,2023-05-05T17:44:39.015582Z,-2.071183443,100.6945648,3.107038255,MLv,36,37,91.64511108,"Southern Sumatra, Indonesia",BMKG
582,bmg2023ivfj,2023-05-06T10:51:40.106157Z,-4.874959469,103.058754,3.216146222,MLv,34,34,117.4460754,"Southern Sumatra, Indonesia",BMKG
563,bmg2023iwny,2023-05-07T04:19:38.288475Z,-5.137934685,102.497139,3.659852089,MLv,11,41,117.4650421,"Southern Sumatra, Indonesia",BMKG
562,bmg2023iwpt,2023-05-07T05:13:36.169357Z,-5.446129322,103.2518845,3.46506591,MLv,17,36,169.2181396,"Southern Sumatra, Indonesia",BMKG
554,bmg2023ixot,2023-05-07T17:52:02.505361Z,-3.193774462,102.3058624,3.364961998,MLv,10,35,85.34152222,"Southern Sumatra, Indonesia",BMKG
497,bmg2023jbro,2023-05-09T23:50:06.836679Z,-4.872579575,101.9836578,4.077455817,MLv,11,43,190.2919464,"Southern Sumatra, Indonesia",BMKG
489,bmg2023jcfn,2023-05-10T06:53:03.509639Z,-0.230588824,98.86104584,3.615271496,MLv,11,41,128.3910065,"Southern Sumatra, Indonesia",BMKG
479,bmg2023jcmh,2023-05-10T10:18:34.009104Z,-4.886971951,103.0114365,3.635176526,M,32,40,132.19207,"Southern Sumatra, Indonesia",BMKG
442,bmg2023jexj,2023-05-11T18:10:14.621876Z,-3.325791836,101.8408279,3.211451318,MLv,47,42,119.0333557,"Southern Sumatra, Indonesia",BMKG
389,bmg2023jjks,2023-05-14T05:27:32.37978Z,-4.73409462,101.9588547,4.564318796,MLv,14,78,198.2162018,"Southern Sumatra, Indonesia",BMKG
377,bmg2023jkpd,2023-05-14T20:48:31.400219Z,-4.854984283,103.9589615,2.877154384,MLv,10,21,123.1066742,"Southern Sumatra, Indonesia",BMKG
357,bmg2023jmhx,2023-05-15T19:26:27.679612Z,-1.463605165,99.31890869,3.386851847,MLv,11,15,223.3407612,"Southern Sumatra, Indonesia",BMKG
348,bmg2023jnaf,2023-05-16T04:42:21.385298Z,-4.292171001,102.3553314,3.661223986,MLv,36,21,213.9107437,"Southern Sumatra, Indonesia",BMKG
321,bmg2023jqfw,2023-05-17T22:57:43.218888Z,-0.016257934,98.47232819,3.144569754,MLv,10,42,107.4409943,"Southern Sumatra, Indonesia",BMKG
302,bmg2023jsop,2023-05-19T05:38:21.45598Z,-5.605604172,103.8302307,3.357846946,M,39,29,160.6305847,"Southern Sumatra, Indonesia",BMKG
298,bmg2023jtdz,2023-05-19T13:24:45.787253Z,-4.181727886,103.5624695,2.573055457,MLv,10,10,137.4817963,"Southern Sumatra, Indonesia",BMKG
297,bmg2023jtec,2023-05-19T13:28:45.114055Z,-4.217319489,103.6076584,2.892456507,MLv,10,12,149.4218826,"Southern Sumatra, Indonesia",BMKG
296,bmg2023jtef,2023-05-19T13:32:07.194379Z,-4.229230881,103.5805664,2.480838866,MLv,10,11,118.7585983,"Southern Sumatra, Indonesia",BMKG
295,bmg2023jtet,2023-05-19T13:48:28.016028Z,-4.235119343,103.6026764,2.828651624,MLv,10,13,140.0710983,"Southern Sumatra, Indonesia",BMKG
294,bmg2023jtew,2023-05-19T13:52:18.089914Z,-4.26214695,103.584549,3.864895949,MLv,10,51,117.3327103,"Southern Sumatra, Indonesia",BMKG
293,bmg2023jtfe,2023-05-19T14:01:11.453017Z,-4.251342773,103.5996017,2.900795757,MLv,10,16,130.1861496,"Southern Sumatra, Indonesia",BMKG
292,bmg2023jtfo,2023-05-19T14:12:42.718728Z,-4.245544434,103.5776825,2.831121373,MLv,10,18,113.8653793,"Southern Sumatra, Indonesia",BMKG
290,bmg2023jthl,2023-05-19T15:09:49.10996Z,-4.213211536,103.6134415,3.944387312,MLv,10,12,195.8759918,"Southern Sumatra, Indonesia",BMKG
289,bmg2023jtjp,2023-05-19T16:15:15.99592Z,-4.222390175,103.6199875,2.631423981,MLv,10,14,149.7167358,"Southern Sumatra, Indonesia",BMKG
288,bmg2023jtkg,2023-05-19T16:34:33.610706Z,-4.246562004,103.5986176,2.840633761,M,10,22,130.8792801,"Southern Sumatra, Indonesia",BMKG
287,bmg2023jtkp,2023-05-19T16:45:19.988298Z,-4.253558636,103.5998764,3.341884046,MLv,10,41,129.7584381,"Southern Sumatra, Indonesia",BMKG
275,bmg2023jugg,2023-05-20T03:42:28.349527Z,-3.712039948,101.1539993,3.805701628,MLv,35,50,204.4066238,"Southern Sumatra, Indonesia",BMKG
271,bmg2023juwi,2023-05-20T11:49:25.121805Z,-4.235947132,103.5966644,3.316887182,MLv,10,29,132.8976746,"Southern Sumatra, Indonesia",BMKG
270,bmg2023juwr,2023-05-20T11:59:41.137003Z,-4.218448162,103.6990509,2.125203657,MLv,10,11,187.2234268,"Southern Sumatra, Indonesia",BMKG
269,bmg2023juwu,2023-05-20T12:03:32.979373Z,-4.25639534,103.7179184,2.245562527,MLv,10,9,177.9270935,"Southern Sumatra, Indonesia",BMKG
268,bmg2023juxc,2023-05-20T12:12:08.884559Z,-4.228575706,103.5295715,2.805921473,MLv,10,15,143.935997,"Southern Sumatra, Indonesia",BMKG
266,bmg2023juzw,2023-05-20T13:36:37.985255Z,-4.258194923,103.5512543,2.548090048,MLv,10,9,93.89805984,"Southern Sumatra, Indonesia",BMKG
258,bmg2023jvmn,2023-05-20T19:59:38.930214Z,-2.359972715,101.9686203,2.702614603,MLv,154,31,113.8410187,"Southern Sumatra, Indonesia",BMKG
253,bmg2023jvwo,2023-05-21T01:03:58.851823Z,-0.383854955,101.2033081,3.904023223,MLv,241,81,123.3691254,"Southern Sumatra, Indonesia",BMKG
252,bmg2023jvwr,2023-05-21T01:08:01.065901Z,-0.40090704,98.82804108,3.871410979,MLv,15,40,146.7062378,"Southern Sumatra, Indonesia",BMKG
249,bmg2023jwnr,2023-05-21T09:43:55.83435Z,-4.252559185,103.5697784,3.371122028,MLv,10,28,70.39555359,"Southern Sumatra, Indonesia",BMKG
222,bmg2023jykb,2023-05-22T10:10:35.938277Z,-1.15652585,101.4490891,3.132084242,MLv,168,37,132.9639235,"Southern Sumatra, Indonesia",BMKG
180,bmg2023kbpc,2023-05-24T04:07:46.57393Z,-0.624044001,98.5068512,4.307976098,MLv,27,42,187.0140686,"Southern Sumatra, Indonesia",BMKG
177,bmg2023kcff,2023-05-24T12:15:14.860613Z,-2.82131505,102.9847031,3.652165526,MLv,204,43,174.0278778,"Southern Sumatra, Indonesia",BMKG
164,bmg2023kdau,2023-05-24T23:09:32.988126Z,-0.964332938,98.41156769,4.18641611,MLv,12,87,189.5496368,"Southern Sumatra, Indonesia",BMKG
